Source_File_Name,Source_Path,Detected_Source_Type,Detected_Period,Report_Month,Snapshot_Date,Community_Scope,Rows_Extracted,Status,Notes
02 - RISE - Box Score-11.xlsx,/Users/jacheflin/Documents/Playground/outputs/atlas_uploads/html_runs/20260430_172343/_source_uploads/02 - RISE - Box Score-11.xlsx,Box Score,2026-04-01,2026-04-01,,"BAR, BAY, CIT, DOR, FLO, GKP, NOC, SER, STA, VIE",405,OK,Parsed Box Score workbook.
2026_04_30_15_23_RISE_Baymeadows_Market.xlsx,/Users/jacheflin/Documents/Playground/outputs/atlas_uploads/html_runs/20260430_172343/_source_uploads/2026_04_30_15_23_RISE_Baymeadows_Market.xlsx,Market Survey,Updated on 2026-04-30,2026-04-01,2026-04-30,BAY,5055,OK,Parsed market survey workbook.
2026_04_29_11_40_RISE_Sereno_Market.xlsx,/Users/jacheflin/Documents/Playground/outputs/atlas_uploads/html_runs/20260430_172343/_source_uploads/2026_04_29_11_40_RISE_Sereno_Market.xlsx,Market Survey,Updated on 2026-04-28,2026-04-01,2026-04-28,SER,4827,OK,Parsed market survey workbook.
2026_04_29_21_07_RISE_at_Glen_Kernan_Park_Market.xlsx,/Users/jacheflin/Documents/Playground/outputs/atlas_uploads/html_runs/20260430_172343/_source_uploads/2026_04_29_21_07_RISE_at_Glen_Kernan_Park_Market.xlsx,Market Survey,Updated on 2026-04-29,2026-04-01,2026-04-29,GKP,1875,OK,Parsed market survey workbook.
2026_04_22_15_29_RISE_Citrus_Ridge_Market.xlsx,/Users/jacheflin/Documents/Playground/outputs/atlas_uploads/html_runs/20260430_172343/_source_uploads/2026_04_22_15_29_RISE_Citrus_Ridge_Market.xlsx,Market Survey,Updated on 2026-04-22,2026-04-01,2026-04-22,CIT,4742,OK,Parsed market survey workbook.
2026_04_28_20_40_RISE_at_Glen_Kernan_Park_Market.xlsx,/Users/jacheflin/Documents/Playground/outputs/atlas_uploads/html_runs/20260430_172343/_source_uploads/2026_04_28_20_40_RISE_at_Glen_Kernan_Park_Market.xlsx,Market Survey,Updated on 2026-04-28,2026-04-01,2026-04-28,GKP,1868,OK,Parsed market survey workbook.
2026_04_28_20_43_RISE_Florence_Villa_Market.xlsx,/Users/jacheflin/Documents/Playground/outputs/atlas_uploads/html_runs/20260430_172343/_source_uploads/2026_04_28_20_43_RISE_Florence_Villa_Market.xlsx,Market Survey,Updated on 2026-04-28,2026-04-01,2026-04-28,FLO,5644,OK,Parsed market survey workbook.
2026_04_28_20_49_RISE_Citrus_Ridge_Market.xlsx,/Users/jacheflin/Documents/Playground/outputs/atlas_uploads/html_runs/20260430_172343/_source_uploads/2026_04_28_20_49_RISE_Citrus_Ridge_Market.xlsx,Market Survey,Updated on 2026-04-28,2026-04-01,2026-04-28,CIT,4746,OK,Parsed market survey workbook.
