"Unit Type","Avg. SQFT","Avg. Market Rent (Budgeted)","Avg. Scheduled Rent","Avg. Net Effective Rent",Units,Excluded,"Rentable Units",Occupied,Vacant,Available,"Occupied No Notice","Notice Rented","Notice Unrented","Vacant Rented","Vacant Unrented",Occupied,Leased,Trend,Exposure
B2.1,1112.00,"1,845.33","1,819.00","1,576.47",3,0,3,1,2,0,1,0,0,2,0,0.3333,1.0000,1.0000,0.0000
B2.2,1123.00,"1,896.33","1,742.50","1,538.35",3,0,3,2,1,0,2,0,0,1,0,0.6667,1.0000,1.0000,0.0000
B3,1171.00,"1,973.25","1,910.86","1,334.09",8,0,8,7,1,0,7,0,0,1,0,0.8750,1.0000,1.0000,0.0000
B4,1055.00,"1,884.53","1,798.98","1,509.89",58,0,58,41,17,9,41,0,0,8,9,0.7069,0.8448,0.8448,0.1552
C1,1426.00,"2,426.25","2,350.54","1,737.04",16,0,16,13,3,2,13,0,0,1,2,0.8125,0.8750,0.8750,0.1250
C2,1500.00,"2,418.00","2,393.25","1,925.93",7,0,7,4,3,0,4,0,0,3,0,0.5714,1.0000,1.0000,0.0000
C2.1,1551.00,"2,726.50","2,687.50","1,087.60",2,0,2,2,0,0,2,0,0,0,0,1.0000,1.0000,1.0000,0.0000
S1,603.00,"1,320.33","1,318.67",853.61,6,0,6,6,0,1,5,0,1,0,0,1.0000,1.0000,0.8333,0.1667
B1,1442.00,"2,181.00","1,974.66","1,812.65",56,0,56,47,9,9,43,1,3,3,6,0.8393,0.8929,0.8393,0.1607
C1,1785.00,"2,626.00","2,237.13","2,050.17",166,0,166,125,41,32,121,0,4,13,28,0.7530,0.8313,0.8072,0.1928
A1,675.00,"1,675.00","1,767.00","1,767.00",16,0,16,2,14,13,2,0,0,1,13,0.1250,0.1875,0.1875,0.8125
A1-L,675.00,"1,675.00",0.00,0.00,38,0,38,0,38,38,0,0,0,0,38,0.0000,0.0000,0.0000,1.0000
A2,749.00,"1,764.00","1,865.33","1,632.70",11,0,11,3,8,7,3,0,0,1,7,0.2727,0.3636,0.3636,0.6364
A2-L,749.00,"1,764.00",0.00,0.00,28,0,28,0,28,28,0,0,0,0,28,0.0000,0.0000,0.0000,1.0000
A3,739.00,"1,743.00","1,767.00","1,767.00",7,0,7,1,6,6,1,0,0,0,6,0.1429,0.1429,0.1429,0.8571
A3-L,739.00,"1,743.00",0.00,0.00,2,0,2,0,2,2,0,0,0,0,2,0.0000,0.0000,0.0000,1.0000
A4,694.00,"1,650.00",0.00,0.00,7,0,7,0,7,7,0,0,0,0,7,0.0000,0.0000,0.0000,1.0000
A4-L,694.00,"1,650.00",0.00,0.00,2,0,2,0,2,2,0,0,0,0,2,0.0000,0.0000,0.0000,1.0000
A5,694.00,"1,900.00","1,652.00","1,416.29",5,0,5,4,1,0,4,0,0,1,0,0.8000,1.0000,1.0000,0.0000
B1,965.00,"2,235.00","1,946.00","1,946.00",7,0,7,5,2,1,5,0,0,1,1,0.7143,0.8571,0.8571,0.1429
B2,1019.00,"2,375.00","1,946.00","1,946.00",11,0,11,5,6,6,5,0,0,0,6,0.4545,0.4545,0.4545,0.5455
B2-L,1019.00,"2,375.00",0.00,0.00,9,0,9,0,9,9,0,0,0,0,9,0.0000,0.0000,0.0000,1.0000
