Report_Month,Community_ID,Community_Name,Region,Market,Asset_Type,PMS_Property_Code,Total_Units,Occupied_Units,Leased_Units,Preleased_Units,Vacant_Units,Physical_Occupancy_%,Leased_%,Economic_Occupancy_%,Avg_Market_Rent,Actual_Rent,Concessions_$,Delinquency_$,Gross_Potential_Rent_$,Collected_Rent_$,Other_Income_$,Operating_Expenses_$,NOI_$,Traffic,Leads,Tours,Applications,Approved_Applications,Move_Ins,Move_Outs,Renewals_Sent,Renewals_Signed,Reviews_Count,Avg_Review_Rating,Open_Work_Orders,Completed_Work_Orders,Period_Status,Source_System,Source_File_Name,Agent_Notes,Last_Updated,Row_Status,Error_Detail
2026-02-01,BAR,Bartram,Florida,Jacksonville,Multifamily,BARTRAM,297,268,,,29,0.9024,,,,,,,,,,,,,,,,,8,9,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-02-01,BAY,Baymeadows,Florida,Jacksonville,Lease-Up,BAYMEADOWS,331,189,,,142,0.571,,,,,,,,,,,,,,,,,21,1,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-02-01,CIT,Citrus Ridge,Florida,Central Florida,Lease-Up,CITRIDGE,222,150,,,72,0.6757,,,,,,,,,,,,,,,,,9,5,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-02-01,DOR,Doro,Florida,Jacksonville,Multifamily,DORO,247,3,,,244,0.0121,,,,,,,,,,,,,,,,,1,0,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-02-01,FLO,Florence Villa,Florida,Central Florida,Lease-Up,FLOVILLA,224,192,,,32,0.8571,,,,,,,,,,,,,,,,,10,17,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-02-01,GKP,Glen Kernan Park,Florida,Jacksonville,Lease-Up,GKP,308,27,,,281,0.0877,,,,,,,,,,,,,,,,,9,1,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-02-01,NOC,Nocatee,Florida,Jacksonville,Lease-Up,NOCATEE,178,104,,,74,0.5843,,,,,,,,,,,,,,,,,7,3,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-02-01,SER,Sereno,Florida,Jacksonville,Multifamily,SERENO,320,268,,,52,0.8375,,,,,,,,,,,,,,,,,13,11,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-02-01,STA,St. Augustine,Florida,St. Augustine,Lease-Up,STAUGUSTINE,272,0,,,272,0,,,,,,,,,,,,,,,,,0,0,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Community is not in the current Atlas Community_Master.; Missing required monthly field(s): Leased_Units
2026-02-01,VIE,Viera,Florida,Space Coast,Lease-Up,VIERA,166,88,,,78,0.5301,,,,,,,,,,,,,,,,,3,3,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-03-01,BAR,Bartram,Florida,Jacksonville,Multifamily,BARTRAM,297,269,,,28,0.9057,,,,,,,,,,,,,,,,,12,11,13,8,,,,,Actual,Renewal Tracker; Trending Occupancy,RISE - Trending Occupancy-4.csv; Renewal_Management_Tool_RBP.xlsx,"Renewals_Sent uses count of valid renewal tracker rows. | Transfer rows=1; NTV rows=4 retained in renewal detail table. | Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-03-01,BAY,Baymeadows,Florida,Jacksonville,Lease-Up,BAYMEADOWS,331,200,,,131,0.6042,,,,,,,,,,,,,,,,,15,3,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-03-01,CIT,Citrus Ridge,Florida,Central Florida,Lease-Up,CITRIDGE,222,162,,,60,0.7297,,,,,,,,,,,,,,,,,15,2,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-03-01,DOR,Doro,Florida,Jacksonville,Multifamily,DORO,247,14,,,233,0.0567,,,,,,,,,,,,,,,,,11,0,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-03-01,FLO,Florence Villa,Florida,Central Florida,Lease-Up,FLOVILLA,224,199,,,25,0.8884,,,,,,,,,,,,,,,,,8,1,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-03-01,GKP,Glen Kernan Park,Florida,Jacksonville,Lease-Up,GKP,308,31,,,277,0.1006,,,,,,,,,,,,,,,,,4,0,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-03-01,NOC,Nocatee,Florida,Jacksonville,Lease-Up,NOCATEE,178,108,,,70,0.6067,,,,,,,,,,,,,,,,,5,1,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-03-01,SER,Sereno,Florida,Jacksonville,Multifamily,SERENO,320,265,,,55,0.8281,,,,,,,,,,,,,,,,,19,21,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-03-01,STA,St. Augustine,Florida,St. Augustine,Lease-Up,STAUGUSTINE,272,0,,,272,0,,,,,,,,,,,,,,,,,0,0,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Community is not in the current Atlas Community_Master.; Missing required monthly field(s): Leased_Units
2026-03-01,VIE,Viera,Florida,Space Coast,Lease-Up,VIERA,166,88,,,78,0.5301,,,,,,,,,,,,,,,,,3,3,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-04-01,BAR,Bartram,Florida,Jacksonville,Multifamily,BARTRAM,297,268,,,29,0.9024,,,,,,,,,,,,,,,,,9,10,16,10,,,,,Actual,Renewal Tracker; Trending Occupancy,RISE - Trending Occupancy-4.csv; Renewal_Management_Tool_RBP.xlsx,"Renewals_Sent uses count of valid renewal tracker rows. | Transfer rows=1; NTV rows=5 retained in renewal detail table. | Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-04-01,BAY,Baymeadows,Florida,Jacksonville,Lease-Up,BAYMEADOWS,331,217,,,114,0.6556,,,,,,,,,,,,,,,,,25,8,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-04-01,CIT,Citrus Ridge,Florida,Central Florida,Lease-Up,CITRIDGE,222,169,,,53,0.7613,,,,,,,,,,,,,,,,,9,2,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-04-01,DOR,Doro,Florida,Jacksonville,Multifamily,DORO,247,26,,,221,0.1053,,,,,,,,,,,,,,,,,12,0,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-04-01,FLO,Florence Villa,Florida,Central Florida,Lease-Up,FLOVILLA,224,187,,,37,0.8348,,,,,,,,,,,,,,,,,8,20,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-04-01,GKP,Glen Kernan Park,Florida,Jacksonville,Lease-Up,GKP,308,39,,,269,0.1266,,,,,,,,,,,,,,,,,13,5,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-04-01,NOC,Nocatee,Florida,Jacksonville,Lease-Up,NOCATEE,178,112,,,66,0.6292,,,,,,,,,,,,,,,,,6,2,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-04-01,SER,Sereno,Florida,Jacksonville,Multifamily,SERENO,320,283,,,37,0.8844,,,,,,,,,,,,,,,,,26,8,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-04-01,STA,St. Augustine,Florida,St. Augustine,Lease-Up,STAUGUSTINE,272,2,,,270,0.0074,,,,,,,,,,,,,,,,,2,0,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Community is not in the current Atlas Community_Master.; Missing required monthly field(s): Leased_Units
2026-04-01,VIE,Viera,Florida,Space Coast,Lease-Up,VIERA,166,88,,,78,0.5301,,,,,,,,,,,,,,,,,4,4,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-05-01,BAR,Bartram,Florida,Jacksonville,Multifamily,BARTRAM,297,277,,,20,0.9327,,,,,,,,,,,,,,,,,15,6,16,11,,,,,Actual,Renewal Tracker; Trending Occupancy,RISE - Trending Occupancy-4.csv; Renewal_Management_Tool_RBP.xlsx,"Renewals_Sent uses count of valid renewal tracker rows. | Transfer rows=2; NTV rows=3 retained in renewal detail table. | Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-05-01,BAY,Baymeadows,Florida,Jacksonville,Lease-Up,BAYMEADOWS,331,247,,,84,0.7462,,,,,,,,,,,,,,,,,35,5,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-05-01,CIT,Citrus Ridge,Florida,Central Florida,Lease-Up,CITRIDGE,222,173,,,49,0.7793,,,,,,,,,,,,,,,,,7,3,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-05-01,DOR,Doro,Florida,Jacksonville,Multifamily,DORO,247,33,,,214,0.1336,,,,,,,,,,,,,,,,,7,0,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-05-01,FLO,Florence Villa,Florida,Central Florida,Lease-Up,FLOVILLA,224,194,,,30,0.8661,,,,,,,,,,,,,,,,,8,1,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-05-01,GKP,Glen Kernan Park,Florida,Jacksonville,Lease-Up,GKP,308,48,,,260,0.1558,,,,,,,,,,,,,,,,,9,0,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-05-01,NOC,Nocatee,Florida,Jacksonville,Lease-Up,NOCATEE,178,114,,,64,0.6404,,,,,,,,,,,,,,,,,3,1,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-05-01,SER,Sereno,Florida,Jacksonville,Multifamily,SERENO,320,277,,,43,0.8656,,,,,,,,,,,,,,,,,4,10,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-05-01,STA,St. Augustine,Florida,St. Augustine,Lease-Up,STAUGUSTINE,272,3,,,269,0.011,,,,,,,,,,,,,,,,,1,0,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Community is not in the current Atlas Community_Master.; Missing required monthly field(s): Leased_Units
2026-05-01,VIE,Viera,Florida,Space Coast,Lease-Up,VIERA,166,92,,,74,0.5542,,,,,,,,,,,,,,,,,7,3,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-06-01,BAR,Bartram,Florida,Jacksonville,Multifamily,BARTRAM,297,269,,,28,0.9057,,,,,,,,,,,,,,,,,2,10,24,12,,,,,Actual,Renewal Tracker; Trending Occupancy,RISE - Trending Occupancy-4.csv; Renewal_Management_Tool_RBP.xlsx,"Renewals_Sent uses count of valid renewal tracker rows. | Transfer rows=0; NTV rows=9 retained in renewal detail table. | Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-06-01,BAY,Baymeadows,Florida,Jacksonville,Lease-Up,BAYMEADOWS,331,247,,,84,0.7462,,,,,,,,,,,,,,,,,4,4,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-06-01,CIT,Citrus Ridge,Florida,Central Florida,Lease-Up,CITRIDGE,222,175,,,47,0.7883,,,,,,,,,,,,,,,,,4,2,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-06-01,DOR,Doro,Florida,Jacksonville,Multifamily,DORO,247,36,,,211,0.1457,,,,,,,,,,,,,,,,,3,0,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
2026-06-01,FLO,Florence Villa,Florida,Central Florida,Lease-Up,FLOVILLA,224,199,,,25,0.8884,,,,,,,,,,,,,,,,,7,2,,,,,,,Actual,Trending Occupancy,RISE - Trending Occupancy-4.csv,"Trending Occupancy supplies multi-month occupancy, move-ins, and move-outs when Box Score is not present.",2026-04-30,REVIEW,Missing required monthly field(s): Leased_Units
